,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Nathan MacKinnon,COL,C,80,53,74,127,57,39,350,7,11,19,0,0,64,35
Cole Caufield,MTL,RW,81,51,37,88,29,14,258,12,11,18,0,0,50,21
Connor McDavid,EDM,C,82,48,90,138,17,44,306,4,13,41,1,1,40,30
Jason Robertson,DAL,LW,82,45,51,96,22,32,294,9,15,26,0,0,48,34
Wyatt Johnston,DAL,C,82,45,41,86,-5,32,206,4,27,15,0,0,56,55
Kirill Kaprizov,MIN,LW,78,45,44,89,10,28,269,7,19,13,0,0,52,27
Macklin Celebrini,SJS,C,82,45,70,115,8,44,287,5,8,25,0,0,53,53
Nikita Kucherov,TBL,RW,76,44,86,130,43,50,231,8,8,29,1,0,36,29
Matt Boldy,MIN,LW,76,42,43,85,18,30,254,3,11,19,4,0,60,58
Steven Stamkos,NSH,C,82,42,24,66,-17,58,206,10,14,12,0,0,89,36
Alex DeBrincat,DET,RW,82,41,44,85,8,19,287,6,15,8,0,0,38,39
Cutter Gauthier,ANA,LW,76,41,28,69,-2,28,285,7,11,8,0,0,64,20
Tage Thompson,BUF,C,81,40,41,81,-6,35,272,5,6,18,0,1,85,48
Filip Forsberg,NSH,RW,82,40,35,75,-2,34,246,3,11,15,0,0,124,33
Dylan Guenther,UTA,RW,79,40,33,73,7,28,242,6,9,15,0,0,66,28
Kyle Connor,WPG,LW,82,39,53,92,-2,16,274,5,5,14,2,1,36,19
Morgan Geekie,BOS,C,81,39,29,68,-5,22,181,6,12,12,0,0,110,34
Martin Necas,COL,C,78,38,62,100,47,30,206,5,9,15,0,0,85,26
Jake Guentzel,TBL,LW,81,38,50,88,13,61,220,5,8,22,2,0,39,41
Pavel Dorofeyev,NYR,LW,82,37,27,64,-3,24,230,4,20,10,0,0,27,28
Brandon Hagel,TBL,LW,71,36,38,74,34,58,214,6,5,7,1,0,42,38
Mark Scheifele,WPG,C,82,36,67,103,0,43,175,6,7,15,0,1,32,47
Adrian Kempe,LAK,C,81,36,37,73,14,58,226,8,4,8,0,2,127,39
Leon Draisaitl,EDM,C,65,35,62,97,13,26,186,3,16,26,1,0,34,15
Dylan Larkin,DET,C,74,34,33,67,3,48,229,9,14,10,1,0,46,33
Mika Zibanejad,NYR,C,81,34,44,78,-20,14,215,3,16,19,2,0,105,50
Tim Stutzle,OTT,C,80,34,49,83,7,39,194,5,9,20,2,0,126,44
Drake Batherson,OTT,RW,79,33,38,71,-7,33,167,5,13,17,0,0,122,22
Nick Schmaltz,UTA,RW,82,33,41,74,17,28,206,9,11,9,2,0,23,52
Alex Tuch,WSH,RW,79,33,33,66,24,57,195,2,7,2,3,2,82,90
Anthony Mantha,NJD,RW,81,33,31,64,10,43,152,2,7,6,0,0,52,40
Brock Nelson,COL,C,81,33,32,65,15,36,186,9,10,8,0,1,38,65
Tyler Bertuzzi,CHI,LW,79,32,26,58,-16,42,164,3,11,10,0,0,55,24
Seth Jarvis,CAR,RW,71,32,34,66,6,23,224,7,5,16,4,2,81,27
Alex Ovechkin,WSH,LW,82,32,32,64,-5,26,244,5,5,14,0,0,134,16
John Tavares,TOR,C,82,31,40,71,-28,28,192,4,12,9,0,0,74,24
Andrei Svechnikov,CAR,RW,79,31,39,70,1,66,203,3,12,17,0,0,148,16
Bo Horvat,NYI,C,68,31,26,57,8,40,226,7,7,9,1,0,51,38
Zach Hyman,EDM,RW,58,31,21,52,13,28,159,2,10,5,0,0,56,18
Juraj Slafkovsky,MTL,LW,82,30,43,73,9,52,180,4,15,13,0,0,105,78
Connor Bedard,CHI,C,69,30,45,75,-18,50,226,5,7,14,0,0,31,27
Pavel Zacha,BOS,C,78,30,35,65,4,28,131,4,11,11,0,0,64,26
William Nylander,TOR,C,65,30,49,79,-14,16,156,4,7,15,0,0,13,26
Tom Wilson,WSH,RW,72,30,32,62,15,117,153,3,7,5,1,0,179,53
Gabriel Vilardi,WPG,C,82,30,39,69,-12,24,150,2,13,11,0,0,20,35
Bobby McMann,SEA,C,78,29,17,46,-3,32,183,3,4,2,0,0,165,27
Sidney Crosby,PIT,C,68,29,45,74,0,44,160,4,10,13,0,0,60,30
Bryan Rust,PIT,RW,72,29,36,65,0,26,183,4,8,16,1,1,35,71
David Pastrnak,BOS,RW,77,29,71,100,4,72,261,4,10,23,0,0,86,32
Leo Carlsson,ANA,C,70,29,38,67,4,33,193,3,4,14,2,1,14,29
Nick Suzuki,MTL,C,82,29,72,101,37,28,183,2,11,32,1,0,62,62
Sam Reinhart,FLA,RW,64,29,32,61,-18,10,166,6,11,14,3,1,59,40
Mark Stone,VGK,RW,60,28,45,73,26,9,130,4,9,18,1,1,31,47
Artemi Panarin,LAK,LW,78,28,56,84,-7,20,224,4,4,19,0,0,11,16
Nico Hischier,NJD,C,82,28,38,66,-6,29,211,6,11,12,0,1,58,62
Owen Tippett,PHI,RW,81,28,23,51,-6,32,220,2,3,4,3,0,166,50
Dylan Cozens,OTT,C,82,28,31,59,-7,59,205,3,13,16,0,0,215,24
Travis Konecny,PHI,RW,77,27,41,68,14,59,168,2,2,12,1,1,108,38
Auston Matthews,TOR,C,60,27,26,53,-4,18,227,3,5,7,0,0,42,81
Jack Hughes,NJD,C,61,27,50,77,0,10,228,5,4,19,1,1,4,32
Jack Eichel,VGK,C,74,27,63,90,23,18,260,6,1,27,1,2,35,40
Brad Marchand,FLA,LW,52,27,27,54,-16,38,138,3,6,14,0,0,36,16
Kirill Marchenko,CBJ,LW,76,27,40,67,7,32,218,7,6,17,1,0,61,40
Sebastian Aho,CAR,C,79,27,53,80,11,46,195,4,7,20,2,4,63,23
Nikolaj Ehlers,CAR,LW,82,26,45,71,8,14,207,6,10,19,0,0,21,24
Sam Bennett,FLA,C,76,26,32,58,-10,82,201,5,5,9,0,0,115,32
Clayton Keller,UTA,RW,82,26,62,88,21,38,225,6,3,24,0,0,8,32
Jordan Eberle,SEA,RW,80,26,29,55,2,28,168,3,4,12,0,0,55,43
Trevor Zegras,PHI,C,81,26,41,67,0,62,167,5,10,13,0,0,46,28
Jakob Chychrun,WSH,D,80,26,34,60,20,62,221,8,8,10,0,0,58,114
Aliaksei Protas,WSH,C,76,25,27,52,20,20,159,5,0,1,2,1,33,42
Robert Thomas,STL,C,64,25,39,64,22,24,102,4,3,11,2,1,10,40
Carter Verhaeghe,FLA,C,77,25,30,55,-14,32,187,4,6,5,0,0,68,22
Viktor Arvidsson,DET,LW,69,25,29,54,20,24,175,6,4,5,0,0,24,36
Lucas Raymond,DET,RW,80,25,51,76,1,22,173,5,7,20,0,0,43,29
Ryan O'Reilly,NSH,C,81,25,49,74,8,22,154,8,5,15,2,1,17,66
Josh Doan,BUF,RW,82,25,27,52,-4,25,170,4,9,8,0,0,78,31
JJ Peterka,BOS,RW,82,25,22,47,6,28,159,4,3,2,0,0,16,19
Jason Zucker,BUF,LW,62,24,21,45,-5,23,128,7,10,6,0,0,57,21
Adam Fantilli,CBJ,C,82,24,35,59,-13,38,214,3,4,9,0,0,139,51
Timo Meier,NJD,LW,77,24,20,44,-16,22,269,5,6,4,0,0,131,53
Quinton Byfield,LAK,C,79,24,25,49,-2,46,180,4,4,7,0,1,66,44
