,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Alex Ovechkin,WAS,LW,81,53,28,81,10,58,395,11,25,9,0,0,259,32
Steven Stamkos,TB,C,82,43,29,72,2,49,268,6,13,12,0,0,91,35
Rick Nash,FA,LW,79,42,27,69,29,36,304,8,6,6,4,1,45,33
John Tavares,TOR,C,82,38,48,86,5,46,278,8,13,18,0,1,48,37
Tyler Seguin,DAL,C,71,37,40,77,-1,20,280,5,13,16,0,0,63,26
Vladimir Tarasenko,STL,RW,77,37,36,73,27,31,264,6,8,10,0,0,32,18
Max Pacioretty,CAR,LW,80,37,30,67,38,32,302,10,7,4,3,2,106,38
Joe Pavelski,DAL,RW,82,37,33,70,12,29,261,5,19,12,0,0,97,86
Jamie Benn,DAL,C,82,35,52,87,1,64,253,6,10,13,2,3,120,50
Zach Parise,NYI,LW,74,33,29,62,21,41,259,3,11,5,0,0,86,56
Corey Perry,TB,RW,67,33,22,55,13,67,193,3,4,3,0,0,64,27
Jiri Hudler,FA,RW,78,31,45,76,17,14,158,5,6,10,0,0,27,14
Radim Vrbata,FA,RW,79,31,32,63,6,20,267,7,12,11,0,0,44,25
Nick Foligno,BOS,LW,79,31,42,73,16,50,182,3,11,15,0,0,193,52
Sean Monahan,MON,C,81,31,31,62,8,12,191,8,10,9,1,1,39,42
Nikita Kucherov,TB,RW,82,29,36,65,38,37,191,2,2,13,0,0,65,28
Tyler Johnson,CHI,C,77,29,43,72,33,24,203,6,8,9,0,0,64,36
Tomas Tatar,NJ,LW,82,29,27,56,6,28,211,7,9,10,0,0,90,18
Jarome Iginla,FA,RW,82,29,30,59,0,42,189,2,8,5,0,0,99,47
Scott Hartnell,FA,LW,77,28,32,60,1,100,204,2,8,8,0,0,160,38
Jeff Carter,PIT,C,82,28,34,62,7,28,218,5,10,5,1,1,76,33
Evgeni Malkin,PIT,C,69,28,42,70,-2,60,212,4,9,17,0,0,24,18
Sidney Crosby,PIT,C,77,28,56,84,5,47,237,3,10,21,0,0,66,29
Jonathan Toews,CHI,C,81,28,38,66,30,36,192,7,6,11,2,1,56,16
Wayne Simmonds,TOR,RW,75,28,22,50,-5,66,188,6,14,10,0,0,168,36
Jaden Schwartz,SEA,LW,75,28,35,63,13,16,184,4,8,8,0,2,54,46
Gustav Nyquist,CLS,RW,82,27,27,54,-11,26,195,4,14,10,0,0,43,31
Logan Couture,SJ,C,82,27,40,67,-6,12,263,4,6,18,2,0,85,71
