,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Alex Ovechkin,WAS,LW,68,48,19,67,-12,30,311,3,13,5,0,0,184,30
David Pastrnak,BOS,RW,70,48,47,95,21,40,279,10,20,18,0,0,47,22
Auston Matthews,TOR,C,70,47,33,80,19,8,290,5,12,13,0,0,40,60
Leon Draisaitl,EDM,C,71,43,67,110,-7,18,218,10,16,28,0,0,27,19
Mika Zibanejad,NYR,C,57,41,34,75,9,14,208,6,15,12,3,2,51,49
Kyle Connor,WPG,LW,71,38,35,73,4,34,239,7,9,8,1,1,18,17
Sebastian Aho,CAR,LW,68,38,28,66,10,26,206,5,8,9,4,1,55,20
Jack Eichel,VGK,C,68,36,42,78,5,34,227,9,11,16,1,0,40,42
Nathan MacKinnon,COL,C,69,35,58,93,13,12,318,4,12,19,0,0,51,31
Connor McDavid,EDM,C,64,34,63,97,-6,28,212,6,11,32,0,0,37,18
Nikita Kucherov,TB,RW,68,33,52,85,26,38,210,6,4,21,0,0,37,19
Patrick Kane,CHI,RW,70,33,51,84,8,40,275,2,8,15,0,0,24,19
Max Pacioretty,CAR,LW,71,32,34,66,18,44,307,5,8,11,0,0,90,35
Artemi Panarin,NYR,LW,69,32,63,95,36,20,209,4,7,17,0,0,25,18
Patrice Bergeron,BOS,C,61,31,25,56,23,28,203,5,11,9,1,0,46,46
William Nylander,TOR,C,68,31,28,59,-2,12,197,7,9,8,0,0,9,14
Dominik Kubalik,DET,LW,68,30,16,46,2,16,157,3,4,4,0,0,79,17
Elias Lindholm,CGY,RW,70,29,25,54,-8,22,169,7,8,11,0,0,93,41
Steven Stamkos,TB,C,57,29,37,66,14,22,176,6,10,9,0,0,69,38
Mark Scheifele,WPG,C,71,29,44,73,2,45,170,6,10,10,0,0,34,49
Mike Hoffman,MON,LW,69,29,30,59,-5,28,214,3,11,10,0,0,33,22
Brad Marchand,BOS,LW,70,28,59,87,25,82,185,5,5,23,1,2,55,19
Patrik Laine,CLS,RW,68,28,35,63,8,22,226,1,8,8,0,0,97,35
Elias Pettersson,VAN,C,68,27,39,66,16,18,162,5,8,16,0,0,63,42
Bryan Rust,PIT,RW,55,27,29,56,14,30,151,4,8,9,1,1,71,35
J.T. Miller,VAN,C,69,27,45,72,11,47,165,3,9,16,0,2,123,38
Reilly Smith,VGK,RW,71,27,27,54,17,20,169,6,3,2,2,2,55,30
Alex Killorn,TB,C,68,26,23,49,19,20,130,7,8,5,0,0,59,15
Jean-Gabriel Pageau,NYI,C,67,26,16,42,4,49,151,5,5,5,3,3,128,53
Adam Henrique,ANH,C,71,26,17,43,-3,22,169,1,5,4,0,0,75,32
Evander Kane,EDM,LW,64,26,21,47,-12,122,216,6,14,4,2,0,135,25
Brock Nelson,NYI,C,68,26,28,54,6,32,175,5,4,3,0,0,49,44
John Tavares,TOR,C,63,26,34,60,-7,24,197,4,7,14,0,0,32,31
T.J. Oshie,WAS,RW,69,26,23,49,4,26,133,4,10,2,0,0,90,58
Zach Parise,NYI,LW,69,25,21,46,-11,8,155,4,12,6,1,0,27,38
Evgeni Malkin,PIT,C,55,25,49,74,7,58,171,5,7,17,0,0,38,22
David Perron,DET,RW,71,25,35,60,2,52,166,9,9,18,0,0,67,19
Brayden Schenn,STL,C,71,25,33,58,3,44,138,4,10,11,0,0,119,21
Kyle Palmieri,NYI,RW,65,25,20,45,-4,41,155,3,11,7,0,0,74,36
Evgenii Dadonov,MON,RW,69,25,22,47,-7,10,167,2,11,6,0,0,29,24
Nikolaj Ehlers,WPG,LW,71,25,33,58,14,30,203,5,3,2,1,0,36,28
Jakub Vrana,DET,RW,69,25,27,52,3,18,187,6,1,11,0,0,29,16
Brayden Point,TB,C,66,25,39,64,28,11,141,4,8,5,0,0,24,30
Chris Kreider,NYR,LW,63,24,21,45,13,58,156,5,9,4,0,0,116,42
Tyler Toffoli,CGY,RW,68,24,20,44,-1,20,203,4,5,5,0,0,48,16
Andrei Svechnikov,CAR,RW,68,24,37,61,9,54,183,5,6,14,0,0,116,27
Travis Konecny,PHI,C,66,24,37,61,-1,28,141,3,5,18,0,0,63,30
Matthew Tkachuk,FLA,LW,69,23,38,61,-5,74,188,4,5,14,0,0,122,22
Kevin Hayes,PHI,C,69,23,18,41,-6,34,175,5,4,3,4,0,88,22
