,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Alex Ovechkin,WAS,LW,79,50,21,71,21,53,398,8,19,5,0,0,225,34
Patrick Kane,CHI,RW,82,46,60,106,17,30,287,9,17,20,0,0,37,21
Jamie Benn,DAL,C,82,41,48,89,7,64,247,5,17,13,2,3,156,55
Vladimir Tarasenko,STL,RW,80,40,34,74,7,37,292,7,12,12,0,0,32,28
Joe Pavelski,DAL,RW,82,38,40,78,25,30,224,11,12,16,0,0,147,67
Brad Marchand,BOS,LW,77,37,24,61,21,90,250,6,6,2,4,2,65,35
Steven Stamkos,TB,C,77,36,28,64,3,38,216,8,14,9,1,2,109,35
Sidney Crosby,PIT,C,80,36,49,85,19,42,248,9,10,14,0,0,90,35
Corey Perry,TB,RW,82,34,28,62,2,68,215,6,12,12,0,0,104,36
Jason Spezza,FA,C,75,33,30,63,4,22,202,7,9,15,0,0,9,20
John Tavares,TOR,C,78,33,37,70,6,38,250,5,7,12,0,0,51,29
Tyler Seguin,DAL,C,72,33,40,73,2,16,278,6,7,17,0,0,80,27
Filip Forsberg,NSH,RW,82,33,31,64,1,47,247,3,8,15,1,0,114,41
Wayne Simmonds,TOR,RW,81,32,28,60,-7,147,229,5,13,8,0,0,192,44
Patrice Bergeron,BOS,C,80,32,36,68,12,49,282,6,12,13,1,2,77,56
James Neal,FA,RW,82,31,27,58,27,65,268,3,4,10,0,0,113,31
Tyler Toffoli,CGY,RW,82,31,27,58,35,20,213,4,9,2,1,0,70,19
Brandon Saad,STL,LW,78,31,22,53,1,14,233,7,6,2,0,1,43,25
Boone Jenner,CLS,LW,82,30,19,49,-15,77,225,3,9,5,1,0,213,71
Nikita Kucherov,TB,RW,77,30,36,66,9,30,209,4,9,16,0,0,61,28
Johnny Gaudreau,CLS,LW,79,30,48,78,4,20,217,6,6,15,0,0,26,10
Alex Galchenyuk,COL,RW,82,30,26,56,-8,20,201,4,9,7,0,0,62,36
Artemi Panarin,NYR,LW,80,30,47,77,8,32,187,7,8,16,0,0,46,14
Adam Henrique,ANH,C,80,30,20,50,10,23,149,8,7,5,2,1,66,56
Matt Duchene,NSH,C,76,30,29,59,-8,24,200,6,8,7,0,0,41,37
Kyle Palmieri,NYI,RW,82,30,27,57,3,39,222,4,11,12,0,0,129,51
Max Pacioretty,CAR,LW,82,30,34,64,-10,34,303,6,8,9,1,0,102,37
Loui Eriksson,FA,RW,82,30,33,63,13,12,184,5,10,7,2,1,22,34
Mike Hoffman,MON,LW,78,29,30,59,1,18,242,3,9,4,0,0,22,29
Mark Scheifele,WPG,C,71,29,32,61,16,48,194,3,7,4,0,0,53,36
Aleksander Barkov,FLA,C,66,28,31,59,18,8,171,8,9,7,1,1,43,39
Jeff Skinner,BUF,LW,82,28,23,51,-2,38,258,7,4,3,0,0,21,17
Shane Doan,FA,RW,72,28,19,47,4,98,170,4,12,5,0,0,116,15
Daniel Sedin,FA,LW,82,28,33,61,7,36,258,6,8,11,0,1,20,19
Jonathan Toews,CHI,C,80,28,30,58,16,62,179,8,6,3,4,3,81,38
Derick Brassard,OTT,C,80,27,31,58,12,30,182,5,8,14,0,0,103,23
Jaromir Jagr,FA,RW,79,27,39,66,23,48,143,4,5,6,0,0,31,16
Brent Burns,CAR,D,82,27,48,75,-5,53,353,4,7,23,1,1,101,145
Evgeni Malkin,PIT,C,57,27,31,58,1,65,162,6,11,16,0,0,27,19
Cam Atkinson,PHI,RW,81,27,26,53,-8,22,226,3,4,6,2,0,47,40
Sean Monahan,MON,C,81,27,36,63,-6,18,197,5,7,13,0,0,38,37
Taylor Hall,BOS,LW,82,26,39,65,-4,54,286,6,4,8,0,0,82,50
Mats Zuccarello,MIN,RW,81,26,35,61,2,34,166,4,7,11,0,0,88,69
Brock Nelson,NYI,C,81,26,14,40,-3,30,165,3,3,2,0,0,59,50
Brayden Schenn,STL,C,80,26,33,59,3,33,178,5,11,11,0,0,187,30
Blake Wheeler,WPG,RW,82,26,52,78,8,49,256,5,3,14,2,2,92,56
Phil Kessel,VGK,RW,82,26,33,59,9,18,274,5,4,13,0,0,9,13
T.J. Oshie,WAS,RW,80,26,25,51,16,34,185,5,11,6,0,0,134,62
Anze Kopitar,LA,C,81,25,49,74,34,16,177,8,5,13,1,2,78,65
Andrew Ladd,ARI,LW,78,25,21,46,-13,45,181,3,10,4,2,0,155,42
Zach Parise,NYI,LW,70,25,28,53,-3,36,234,7,7,11,0,0,71,42
Patrick Marleau,FA,LW,82,25,23,48,-22,10,216,5,11,14,1,0,64,36
Zack Smith,FA,C,81,25,11,36,16,80,121,4,4,1,5,1,175,26
Jordan Eberle,SEA,RW,69,25,22,47,-12,14,173,4,7,4,0,0,28,23
Vincent Trocheck,NYR,C,76,25,28,53,15,44,174,4,4,9,1,0,125,41
Reilly Smith,VGK,RW,82,25,25,50,19,31,173,3,5,6,0,1,85,39
Jack Eichel,VGK,C,81,24,32,56,-16,22,238,5,8,13,0,0,43,25
Jeff Carter,PIT,C,77,24,38,62,18,20,242,6,4,8,1,1,89,39
Scott Hartnell,FA,LW,79,23,26,49,-11,112,150,1,10,2,0,0,131,41
Mark Stone,VGK,RW,75,23,38,61,-4,38,151,1,5,10,1,2,55,54
Sam Reinhart,FLA,RW,79,23,19,42,-8,8,165,3,8,2,0,0,26,26
Dylan Larkin,DET,C,80,23,22,45,11,34,221,5,4,1,0,0,65,25
J.T. Miller,VAN,C,82,22,21,43,10,46,135,5,2,2,0,0,174,48
Derek Stepan,CAR,C,72,22,31,53,5,20,192,5,5,9,3,0,38,39
Justin Williams,FA,RW,82,22,30,52,15,36,201,3,3,6,0,1,32,43
Jarome Iginla,FA,RW,82,22,25,47,-22,41,182,3,13,6,0,0,70,45
Bobby Ryan,FA,RW,81,22,34,56,-9,28,183,2,6,10,0,0,106,24
Kyle Okposo,BUF,RW,79,22,42,64,-4,51,202,4,7,16,0,0,90,39
Patric Hornqvist,FLA,RW,82,22,29,51,15,36,257,3,9,6,0,0,160,54
Claude Giroux,OTT,C,78,22,45,67,-8,53,241,5,6,21,1,1,83,36
Jannik Hansen,FA,RW,67,22,16,38,16,32,117,5,1,0,1,0,39,19
Jamie McGinn,FA,LW,84,22,17,39,-7,33,156,5,9,3,0,0,164,27
Joel Ward,FA,RW,79,21,22,43,-15,28,138,3,5,7,1,1,68,53
Mikael Backlund,CGY,C,82,21,26,47,10,28,155,4,3,6,3,1,68,51
David Backes,FA,RW,79,21,24,45,4,83,168,3,8,5,0,0,239,63
Ryan Kesler,FA,C,79,21,32,53,5,78,164,4,5,10,1,0,168,92
Mark Giordano,TOR,D,82,21,35,56,-5,54,212,2,9,10,1,2,65,193
Drew Stafford,FA,RW,78,21,17,38,-23,28,187,6,6,3,1,2,59,15
Charlie Coyle,BOS,C,82,21,21,42,1,16,140,4,2,4,0,1,131,61
Oliver Ekman-Larsson,VAN,D,75,21,34,55,-6,96,228,8,12,15,0,0,154,67
Chris Kreider,NYR,LW,79,21,22,43,10,58,158,3,5,3,0,0,177,33
Ryan O'Reilly,STL,C,71,21,39,60,-16,8,157,2,8,14,1,0,17,43
Tomas Tatar,NJ,LW,81,21,24,45,4,24,165,3,7,8,0,0,74,18
Mika Zibanejad,NYR,C,81,21,30,51,-2,18,184,7,2,9,2,0,111,43
Craig Smith,BOS,RW,82,21,16,37,4,40,199,6,2,3,0,0,84,18
Victor Rask,FA,C,80,21,27,48,-6,24,160,5,5,13,0,0,32,34
Tomas Hertl,SJ,LW,81,21,25,46,16,26,202,3,3,4,0,0,90,60
Nathan MacKinnon,COL,C,72,21,31,52,-4,20,245,6,7,9,0,1,46,53
Anthony Duclair,FLA,LW,81,20,24,44,12,49,105,2,8,4,0,0,27,27
