,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Johnny Gaudreau,CLS,LW,82,40,75,115,64,26,262,9,6,19,0,0,10,9
Elias Lindholm,CGY,RW,82,42,40,82,61,22,235,9,10,9,1,1,66,52
Matthew Tkachuk,FLA,LW,82,42,62,104,57,68,253,6,12,17,0,0,93,20
Devon Toews,COL,D,66,13,44,57,52,20,158,3,2,10,0,0,54,85
Cale Makar,COL,D,77,28,58,86,48,26,240,6,9,25,0,0,95,110
Justin Faulk,STL,D,76,16,31,47,41,43,167,6,1,6,0,0,149,101
Gustav Forsling,FLA,D,71,10,27,37,41,18,145,1,0,0,0,0,45,86
Alex Goligoski,MIN,D,72,2,28,30,41,34,80,0,0,4,0,0,56,96
MacKenzie Weegar,CGY,D,80,8,36,44,40,81,203,2,1,2,1,1,179,156
Aaron Ekblad,FLA,D,61,15,42,57,38,26,180,2,3,17,0,3,62,69
Aleksander Barkov,FLA,C,67,39,49,88,36,18,214,5,12,14,4,1,50,42
Mikko Rantanen,COL,RW,75,36,56,92,35,56,254,2,16,19,0,0,58,43
Jonathan Huberdeau,CGY,LW,80,30,85,115,35,54,222,7,5,33,3,2,99,28
Chris Tanev,CGY,D,82,6,22,28,35,22,88,3,0,0,0,0,52,158
Jaccob Slavin,CAR,D,79,4,38,42,35,10,165,0,1,6,0,2,50,121
Oliver Kylington,CGY,D,73,9,22,31,34,14,138,2,1,2,0,0,40,79
Anton Lundell,FLA,C,65,18,26,44,33,18,125,4,1,3,1,3,26,56
Jared Spurgeon,MIN,D,65,10,30,40,32,10,116,2,0,14,0,0,44,83
Nick Jensen,WAS,D,76,5,16,21,32,21,88,1,0,0,0,0,135,92
Ryan Hartman,MIN,RW,82,34,31,65,31,95,239,7,1,7,0,0,72,48
Charlie McAvoy,BOS,D,78,10,46,56,31,66,166,5,4,17,1,0,155,130
Mika Zibanejad,NYR,C,81,29,52,81,30,12,219,3,15,13,1,4,67,47
Tony DeAngelo,PHI,D,64,10,41,51,30,56,151,2,2,18,0,0,41,59
Rasmus Andersson,CGY,D,82,4,46,50,30,28,152,1,2,17,0,1,63,125
Pavel Buchnevich,STL,LW,73,30,46,76,29,34,199,3,8,11,2,2,57,15
Nino Niederreiter,NSH,RW,75,24,20,44,29,34,144,5,4,1,0,0,119,17
Mason Marchment,DAL,LW,54,18,29,47,29,53,121,2,1,1,0,0,114,9
Connor McDavid,EDM,C,80,44,79,123,28,45,314,9,10,34,0,1,75,26
Kirill Kaprizov,MIN,LW,81,47,61,108,27,34,289,5,14,17,0,0,73,29
Gabriel Landeskog,COL,LW,51,30,29,59,27,78,150,5,7,8,0,0,94,34
Sam Bennett,FLA,LW,71,28,21,49,27,74,241,7,5,4,0,1,119,27
Michael Bunting,TOR,LW,79,23,40,63,27,80,175,2,2,3,0,0,85,21
Noah Hanifin,CGY,D,81,10,38,48,27,19,189,1,1,12,0,1,63,84
Radko Gudas,FLA,D,77,3,13,16,27,105,100,0,0,0,1,0,355,118
Patrice Bergeron,BOS,C,73,25,40,65,26,32,293,4,8,15,0,3,78,45
Victor Hedman,TB,D,82,20,65,85,26,36,219,6,6,32,0,0,93,129
Jordan Greenway,MIN,LW,62,10,17,27,26,69,110,3,1,1,0,0,155,31
Alexandre Carrier,NSH,D,77,3,27,30,26,50,95,0,1,3,0,1,95,124
Sam Reinhart,FLA,RW,78,33,49,82,25,13,186,6,16,15,0,2,49,30
Marcus Foligno,MIN,LW,74,23,19,42,25,112,98,3,5,2,0,0,238,42
Evander Kane,EDM,LW,43,22,17,39,25,60,152,3,3,1,2,1,135,11
Dmitry Orlov,WAS,D,76,12,23,35,25,44,127,4,2,2,0,0,124,94
Jacob Trouba,NYR,D,81,11,28,39,25,88,204,1,1,3,0,2,207,177
Jan Rutta,PIT,D,76,3,15,18,25,47,86,0,0,0,0,0,93,71
Steven Stamkos,TB,C,81,42,64,106,24,36,241,11,16,20,0,0,93,31
Carter Verhaeghe,FLA,C,78,24,31,55,24,48,167,4,0,3,0,0,50,16
Jesper Fast,CAR,RW,82,14,20,34,24,4,97,1,1,1,0,1,109,36
Pierre-Edouard Bellemare,TB,C,80,9,11,20,24,19,72,1,0,0,1,0,88,44
Brian Dumoulin,PIT,D,76,3,15,18,24,24,91,0,0,0,0,0,88,139
Mitch Marner,TOR,RW,72,35,62,97,23,16,224,5,6,19,3,1,75,31
Kevin Fiala,LA,LW,82,33,52,85,23,52,262,7,5,12,1,0,52,21
Torey Krug,STL,D,64,9,34,43,23,48,119,1,3,16,1,0,53,70
K'Andre Miller,NYR,D,82,7,13,20,23,24,102,2,1,0,0,0,151,95
Dmitry Kulikov,ANH,D,80,7,17,24,23,39,74,2,0,0,0,0,100,103
Matt Roy,LA,D,67,2,19,21,23,28,153,0,0,2,0,2,124,103
Nathan MacKinnon,COL,C,65,32,56,88,22,42,299,5,7,20,0,0,68,39
Teuvo Teravainen,CAR,C,77,22,43,65,22,24,202,2,9,22,2,1,15,30
Jesse Puljujarvi,EDM,RW,65,14,22,36,22,20,160,1,4,3,0,0,81,15
Brady Skjei,CAR,D,82,9,30,39,22,48,184,0,0,0,0,0,95,73
Erik Johnson,COL,D,77,8,17,25,22,24,139,1,0,1,1,1,165,136
Matt Grzelcyk,BOS,D,73,4,20,24,22,24,118,2,0,5,0,0,40,83
Valeri Nichushkin,COL,LW,62,25,27,52,21,14,180,5,5,4,2,0,89,27
Brayden Schenn,STL,C,62,24,34,58,21,33,111,3,7,10,0,0,119,17
Mats Zuccarello,MIN,RW,70,24,55,79,21,24,159,2,7,21,0,0,36,33
Artemi Panarin,NYR,LW,75,22,74,96,21,18,177,5,5,32,0,0,22,14
Vincent Trocheck,NYR,C,81,21,30,51,21,78,168,3,6,6,0,0,185,46
Zach Whitecloud,VGK,D,59,8,11,19,21,20,94,1,0,0,1,0,98,115
Auston Matthews,TOR,C,73,60,46,106,20,18,348,10,16,13,0,0,67,62
Andrew Mangiapane,CGY,LW,82,35,20,55,20,38,185,8,8,3,2,1,73,32
Trevor Moore,LA,LW,81,17,31,48,20,20,202,1,1,1,5,1,69,32
Patrick Maroon,TB,LW,81,11,16,27,20,134,102,0,3,3,0,0,160,11
Kris Letang,PIT,D,78,10,58,68,20,49,214,3,2,20,0,0,171,122
T.J. Brodie,TOR,D,82,4,24,28,20,34,68,0,0,1,0,2,53,106
Adam Pelech,NYI,D,78,3,25,28,20,42,104,0,0,0,0,2,99,128
Chris Kreider,NYR,LW,81,52,25,77,19,24,258,11,26,9,3,0,141,39
Sidney Crosby,PIT,C,69,31,53,84,19,32,208,9,8,22,0,0,50,37
Anthony Duclair,FLA,LW,74,31,27,58,19,30,167,5,9,12,0,0,38,16
Andrei Svechnikov,CAR,RW,78,30,39,69,19,79,249,5,9,13,0,0,189,15
Erik Haula,NJ,C,78,18,26,44,19,47,141,3,2,2,0,0,129,36
Garnet Hathaway,WAS,RW,76,14,12,26,19,57,124,4,0,0,0,1,250,62
Alex Kerfoot,TOR,C,82,13,38,51,19,20,117,1,0,1,0,3,75,65
Sebastian Aho,CAR,LW,79,37,44,81,18,38,221,9,13,15,1,2,76,23
Nikolaj Ehlers,WPG,LW,62,28,27,55,18,20,245,2,4,5,0,0,32,27
Conor Garland,VAN,RW,77,19,33,52,18,36,203,3,1,2,0,0,52,22
Adam Fox,NYR,D,78,11,63,74,18,26,158,2,0,33,1,1,30,128
Darnell Nurse,EDM,D,71,9,26,35,18,54,203,0,0,6,2,1,196,132
Ryan Lindgren,NYR,D,78,4,11,15,18,48,73,1,0,0,0,0,129,141
Alexander Edler,LA,D,41,3,16,19,18,34,54,1,0,0,0,1,56,70
Leon Draisaitl,EDM,C,80,55,55,110,17,40,278,11,24,17,1,0,53,25
Robert Thomas,STL,C,72,20,57,77,17,16,115,6,3,11,2,1,13,25
Matthew Boldy,MIN,LW,47,15,24,39,17,10,113,2,3,7,0,0,23,24
Marco Scandella,STL,D,70,3,11,14,17,18,76,0,0,0,0,2,106,70
Olli Maatta,DET,D,66,1,7,8,17,10,61,0,0,0,0,0,67,94
Jason Robertson,DAL,LW,74,41,38,79,16,22,220,11,13,8,0,0,50,24
Brad Marchand,BOS,LW,70,32,48,80,16,97,242,6,7,20,2,0,78,20
Joel Eriksson Ek,MIN,C,77,26,23,49,16,28,223,3,12,5,0,0,138,44
Ilya Mikheyev,VAN,RW,53,21,11,32,16,26,147,4,4,1,4,0,52,18
Blake Coleman,CGY,C,81,16,17,33,16,60,212,2,0,0,1,1,163,44
Mikael Backlund,CGY,C,82,12,27,39,16,30,214,1,0,7,0,0,62,27
Morgan Rielly,TOR,D,82,10,58,68,16,40,221,3,2,21,0,3,92,87
Colton Parayko,STL,D,80,6,29,35,16,18,135,2,0,1,0,0,72,169
Brenden Dillon,WPG,D,79,3,17,20,16,67,85,0,0,0,0,0,212,108
Roope Hintz,DAL,LW,80,37,35,72,15,28,213,7,9,15,3,1,82,53
J.T. Miller,VAN,C,80,32,67,99,15,47,206,6,8,30,0,2,172,56
Andrew Copp,DET,C,72,21,32,53,15,16,183,5,3,7,2,1,45,41
Ryan Strome,ANH,C,74,21,33,54,15,69,161,5,5,9,1,0,41,19
Ondrej Palat,NJ,LW,77,18,31,49,15,20,143,5,1,5,0,1,124,42
Anthony Cirelli,TB,C,76,17,26,43,15,70,146,4,3,5,1,0,75,67
Brandon Montour,FLA,D,81,11,26,37,15,48,153,1,1,7,0,0,64,65
Blake Lizotte,LA,LW,70,10,14,24,15,28,91,2,0,0,1,2,74,12
Martin Fehervary,WAS,D,79,8,9,17,15,26,96,2,0,0,1,1,251,117
Erik Gudbranson,CLS,D,78,6,11,17,15,68,129,0,0,0,0,0,145,92
Timothy Liljegren,TOR,D,61,5,18,23,15,14,79,0,1,1,0,0,87,60
Luke Schenn,VAN,D,66,5,12,17,15,61,78,1,0,0,1,0,273,96
Jon Merrill,MIN,D,69,4,16,20,15,22,59,0,0,0,0,0,46,112
Ryan McDonagh,NSH,D,71,4,22,26,15,16,85,0,0,1,0,0,96,137
Ian Cole,TB,D,75,2,17,19,15,83,77,1,0,0,0,1,110,104
Duncan Keith,FA,D,64,1,20,21,15,22,79,1,0,2,0,0,22,114
Tyler Myers,VAN,D,82,1,17,18,15,66,128,0,0,1,0,0,145,148
Phillip Danault,LA,C,79,27,24,51,14,38,194,5,2,2,0,3,74,49
Paul Stastny,CAR,C,71,21,24,45,14,14,141,2,4,4,0,0,27,27
Mattias Ekholm,NSH,D,76,6,25,31,14,44,145,1,0,4,0,1,79,96
Justin Holl,TOR,D,69,3,20,23,14,41,64,1,0,0,1,2,129,104
Jake Guentzel,PIT,LW,76,40,44,84,13,44,264,7,7,15,0,0,72,38
David Pastrnak,BOS,RW,72,40,37,77,13,20,312,9,15,11,0,0,63,14
Nazem Kadri,CGY,C,71,28,59,87,13,71,247,6,8,21,0,0,52,19
Tom Wilson,WAS,RW,78,24,28,52,13,98,151,5,4,6,2,1,240,55
Roman Josi,NSH,D,80,23,73,96,13,46,281,2,11,26,0,0,66,133
John Carlson,WAS,D,78,17,54,71,13,20,195,2,7,18,0,3,73,112
Pierre Engvall,TOR,LW,78,15,20,35,13,30,154,3,1,2,2,1,66,12
Barclay Goodrow,NYR,LW,79,13,20,33,13,69,116,2,0,0,1,3,130,54
Dante Fabbro,NSH,D,66,3,21,24,13,24,88,0,0,0,0,0,69,105
