,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Auston Matthews,TOR,C,52,41,25,66,21,10,222,12,10,3,0,0,57,47
Connor McDavid,EDM,C,56,33,72,105,21,20,200,11,9,28,0,0,61,24
Alex DeBrincat,OTT,RW,52,32,24,56,3,12,155,7,9,9,1,0,70,22
Leon Draisaitl,EDM,C,56,31,53,84,29,22,168,8,15,17,1,0,37,12
Mikko Rantanen,COL,RW,52,30,36,66,30,34,177,7,9,15,0,0,26,20
Brad Marchand,BOS,LW,53,29,40,69,26,46,143,5,4,14,4,3,66,11
Tyler Toffoli,CGY,RW,52,28,16,44,0,24,158,5,7,3,2,1,75,12
Kirill Kaprizov,MIN,LW,55,27,24,51,10,16,157,3,8,5,0,0,29,18
Kyle Connor,WPG,LW,56,26,24,50,-4,12,166,5,10,3,0,0,18,18
Aleksander Barkov,FLA,C,50,26,32,58,12,14,176,6,7,12,1,0,31,37
Sam Reinhart,FLA,RW,54,25,15,40,-28,10,130,5,10,6,0,0,15,27
Joe Pavelski,DAL,RW,56,25,26,51,22,16,139,4,13,8,0,0,64,39
Alex Ovechkin,WAS,LW,45,24,18,42,-7,12,182,6,9,8,0,0,98,23
Sidney Crosby,PIT,C,55,24,38,62,8,26,159,5,5,17,1,0,44,28
Max Pacioretty,CAR,LW,48,24,27,51,20,14,174,6,6,6,0,0,33,29
Ryan O'Reilly,STL,C,56,24,30,54,26,18,129,4,4,8,2,0,24,26
Mika Zibanejad,NYR,C,56,24,26,50,2,18,171,7,10,4,2,2,75,44
Sebastian Aho,CAR,LW,56,24,33,57,16,32,148,7,7,11,3,0,38,25
Brock Boeser,VAN,RW,56,23,26,49,-3,16,141,1,8,6,1,0,32,20
Brayden Point,TB,C,56,23,25,48,2,11,131,6,6,9,0,0,23,18
Jake Guentzel,PIT,LW,56,23,34,57,7,28,141,7,6,12,0,1,43,32
Patrice Bergeron,BOS,C,54,23,25,48,27,16,182,3,7,6,3,1,49,36
T.J. Oshie,WAS,RW,53,22,21,43,-3,18,106,1,13,4,0,0,70,27
Evander Kane,EDM,LW,56,22,27,49,-1,42,194,2,3,4,2,2,97,22
Bryan Rust,PIT,RW,56,22,20,42,9,18,154,6,6,5,0,0,62,30
