,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Alex Ovechkin,WAS,LW,81,51,38,89,7,40,338,5,18,10,0,0,223,41
Leon Draisaitl,EDM,C,82,50,55,105,2,52,231,5,16,13,3,0,57,26
John Tavares,TOR,C,82,47,41,88,19,34,286,8,10,9,0,0,59,53
Steven Stamkos,TB,C,82,45,53,98,4,37,234,6,19,21,2,0,72,40
Patrick Kane,CHI,RW,81,44,66,110,2,22,341,7,9,21,0,0,21,18
Cam Atkinson,PHI,RW,80,41,28,69,3,20,295,8,8,6,4,0,27,25
Nikita Kucherov,TB,RW,82,41,87,128,24,62,246,8,15,33,0,0,44,31
Nathan MacKinnon,COL,C,82,41,58,99,20,34,365,6,12,25,0,0,54,31
Brayden Point,TB,C,79,41,51,92,27,28,191,7,20,15,0,0,31,43
Connor McDavid,EDM,C,78,41,75,116,3,20,240,9,9,24,1,1,39,30
Alex DeBrincat,OTT,RW,82,41,35,76,0,15,220,3,13,11,0,0,35,26
Jake Guentzel,PIT,LW,82,40,36,76,13,26,227,4,6,5,1,0,105,47
Jeff Skinner,BUF,LW,82,40,23,63,0,36,268,7,8,8,0,0,31,24
Joe Pavelski,DAL,RW,75,38,26,64,-4,22,188,6,12,9,1,0,69,61
Mark Scheifele,WPG,C,82,38,46,84,8,38,199,6,12,11,0,3,54,54
David Pastrnak,BOS,RW,66,38,43,81,6,32,235,4,17,16,0,0,57,25
Auston Matthews,TOR,C,68,37,36,73,-9,12,251,5,12,8,0,0,28,60
Johnny Gaudreau,CLS,LW,82,36,63,99,18,24,245,8,6,21,0,0,12,12
Brad Marchand,BOS,LW,79,36,64,100,15,96,231,9,10,24,3,4,46,19
Mike Hoffman,MON,LW,82,36,34,70,-24,30,253,6,17,18,0,0,42,26
Jonathan Toews,CHI,C,82,35,46,81,2,40,235,5,9,14,1,0,42,44
Sidney Crosby,PIT,C,79,35,65,100,18,36,220,3,12,17,0,2,85,43
Aleksander Barkov,FLA,C,82,35,61,96,-3,8,206,5,13,18,0,1,28,61
Tomas Hertl,SJ,LW,77,35,39,74,5,18,176,5,11,4,1,1,53,64
Sean Monahan,MON,C,78,34,48,82,7,12,211,5,12,11,0,0,36,24
Gabriel Landeskog,COL,LW,73,34,41,75,17,51,243,9,10,17,0,0,120,64
Matthew Tkachuk,FLA,LW,80,34,43,77,14,62,207,2,11,13,0,0,104,13
Kyle Connor,WPG,LW,82,34,32,66,-7,18,227,5,11,8,1,0,9,21
Viktor Arvidsson,LA,LW,58,34,14,48,12,26,195,7,3,1,2,1,18,23
Sean Couturier,PHI,C,80,33,43,76,2,34,223,5,8,9,1,0,40,60
Brendan Gallagher,MON,RW,82,33,19,52,10,49,302,4,4,3,0,0,126,31
Mark Stone,VGK,RW,77,33,40,73,17,27,199,4,6,14,1,0,72,71
Tyler Seguin,DAL,C,82,33,47,80,17,18,334,8,9,18,0,0,74,47
Vladimir Tarasenko,STL,RW,76,33,35,68,8,22,275,5,12,10,0,0,88,40
Patrice Bergeron,BOS,C,65,32,47,79,23,30,205,3,9,18,4,3,43,60
Dylan Larkin,DET,C,76,32,41,73,-6,75,287,4,7,8,2,1,80,38
Mikko Rantanen,COL,RW,74,31,56,87,13,54,193,4,16,17,0,0,59,41
Matt Duchene,NSH,C,73,31,39,70,-3,8,172,1,6,8,0,0,28,40
Evander Kane,EDM,LW,75,30,26,56,-4,153,268,1,5,6,1,1,173,25
Jonathan Huberdeau,CGY,LW,82,30,62,92,-14,40,226,5,11,23,0,0,57,45
Mika Zibanejad,NYR,C,82,30,44,74,-12,47,236,5,11,12,2,0,134,66
Andreas Athanasiou,CHI,C,76,30,24,54,-9,38,216,4,3,8,0,0,33,26
Sebastian Aho,CAR,LW,82,30,53,83,25,26,243,7,3,21,4,1,65,34
Timo Meier,SJ,LW,78,30,36,66,9,55,250,2,6,4,0,1,99,40
Patrik Laine,CLS,RW,82,30,20,50,-24,42,245,3,15,8,0,0,70,44
Tyler Johnson,CHI,C,80,29,18,47,15,28,163,4,1,7,1,0,50,32
Alexander Radulov,FA,RW,70,29,43,72,22,54,209,7,7,16,0,0,60,83
Zach Parise,NYI,LW,74,28,33,61,-2,26,229,5,10,6,0,2,49,71
Chris Kreider,NYR,LW,79,28,24,52,4,57,201,2,7,5,0,0,159,49
Evgenii Dadonov,MON,RW,82,28,42,70,-6,8,195,4,8,9,0,0,33,42
Ryan O'Reilly,STL,C,82,28,49,77,22,12,234,5,6,16,1,2,31,36
Ryan Nugent-Hopkins,EDM,LW,82,28,41,69,-13,26,208,3,8,18,1,2,69,40
Anders Lee,NYI,C,82,28,23,51,20,58,204,5,10,6,0,0,103,51
Filip Forsberg,NSH,RW,64,28,22,50,8,26,217,4,7,3,2,0,100,29
Max Domi,CHI,C,82,28,44,72,20,80,203,2,4,7,0,0,53,39
Elias Pettersson,VAN,C,71,28,38,66,3,12,144,7,10,12,0,0,42,51
Jack Eichel,VGK,C,77,28,54,82,-11,26,303,2,8,18,0,0,70,51
Artemi Panarin,NYR,LW,79,28,59,87,14,23,191,8,6,12,0,0,14,17
Jake DeBrusk,BOS,LW,68,27,15,42,2,18,156,4,8,3,0,0,45,24
Pierre-Luc Dubois,WPG,C,82,27,34,61,16,64,174,5,2,7,0,0,115,52
Elias Lindholm,CGY,RW,81,27,51,78,30,20,182,5,9,17,1,3,82,39
Bo Horvat,VAN,C,82,27,34,61,-4,33,227,3,7,11,2,1,62,63
Josh Anderson,MON,RW,82,27,20,47,25,60,230,5,3,4,2,1,214,40
Kyle Palmieri,NYI,RW,74,27,23,50,-9,42,224,2,11,7,0,0,98,35
Jamie Benn,DAL,C,78,27,26,53,14,56,189,2,8,3,0,0,142,71
Phil Kessel,VGK,RW,82,27,55,82,-19,28,215,10,12,24,0,0,12,18
James van Riemsdyk,PHI,LW,66,27,21,48,-10,18,167,4,8,5,0,0,34,16
Logan Couture,SJ,C,81,27,43,70,-6,22,204,3,6,12,2,0,65,52
Ryan Dzingel,CAR,C,78,26,30,56,-9,29,159,5,5,6,0,0,54,38
Brock Boeser,VAN,RW,69,26,30,56,-2,22,209,3,6,9,0,0,14,22
Mitch Marner,TOR,RW,82,26,68,94,22,22,233,5,3,18,1,2,29,43
Jonathan Marchessault,VGK,LW,82,25,34,59,2,52,278,6,5,11,0,0,98,22
Anthony Mantha,WAS,RW,67,25,23,48,-8,30,198,1,7,6,0,0,67,23
T.J. Oshie,WAS,RW,69,25,29,54,5,36,143,4,6,8,1,0,133,55
Tomas Tatar,NJ,LW,80,25,33,58,21,34,195,4,4,4,0,0,77,30
Brock Nelson,NYI,C,82,25,28,53,20,28,181,3,2,6,1,0,51,55
William Karlsson,VGK,C,82,24,32,56,1,16,169,5,7,7,1,2,51,55
Jakob Silfverberg,ANH,RW,73,24,19,43,-9,28,163,4,3,8,2,1,38,43
Travis Konecny,PHI,C,82,24,25,49,-4,40,182,3,4,4,0,0,65,45
Frank Vatrano,ANH,LW,81,24,15,39,-10,38,208,1,2,6,0,0,139,74
Jakub Vrana,DET,RW,82,24,23,47,20,27,161,4,1,3,0,0,47,32
Brandon Saad,STL,LW,80,23,24,47,-9,12,195,3,5,1,3,0,52,25
Oliver Bjorkstrand,SEA,RW,77,23,13,36,8,8,161,1,3,0,0,0,43,34
Nino Niederreiter,NSH,RW,82,23,30,53,-4,30,184,3,6,9,0,0,94,20
Justin Williams,FA,RW,82,23,30,53,-4,44,237,5,9,5,0,0,55,32
David Perron,DET,RW,57,23,23,46,3,46,112,1,7,7,0,0,52,13
Carl Soderberg,FA,C,82,23,26,49,-5,26,188,2,2,8,3,0,99,67
Nicklas Backstrom,WAS,C,80,22,52,74,2,30,169,5,7,18,0,0,54,30
Claude Giroux,OTT,C,82,22,63,85,9,24,229,4,2,21,1,0,28,19
Max Pacioretty,CAR,LW,66,22,18,40,-13,36,191,5,4,4,0,0,119,20
Eric Staal,FLA,C,81,22,30,52,-7,34,215,6,7,8,0,1,41,28
Dustin Brown,FA,RW,72,22,29,51,-17,24,180,3,9,3,1,1,150,29
Anze Kopitar,LA,C,81,22,38,60,-20,30,156,3,1,18,2,0,59,66
Brett Connolly,FA,RW,81,22,24,46,13,24,139,5,1,1,0,0,53,25
Cody Eakin,FA,C,78,22,19,41,19,16,120,3,1,3,3,0,88,35
Tom Wilson,WAS,RW,63,22,18,40,11,128,130,2,3,2,2,0,200,52
Blake Coleman,CGY,C,78,22,14,36,-19,71,213,3,3,0,3,2,225,44
Yanni Gourde,SEA,LW,80,22,26,48,9,66,130,5,5,4,1,1,83,30
Alex Chiasson,FA,RW,73,22,16,38,-1,32,123,1,8,7,1,1,85,31
Gustav Nyquist,CLS,RW,81,22,38,60,1,12,204,3,2,10,0,0,36,23
Sam Reinhart,FLA,RW,82,22,43,65,-10,16,180,1,2,13,0,0,38,47
Brady Tkachuk,OTT,LW,71,22,23,45,-10,75,214,3,4,6,0,0,174,26
Nikolaj Ehlers,WPG,LW,62,21,16,37,2,15,158,4,2,5,0,0,27,16
Zach Hyman,EDM,RW,71,21,20,41,16,65,144,4,0,0,1,0,102,39
Craig Smith,BOS,RW,76,21,17,38,11,20,205,2,4,4,0,0,77,33
Teuvo Teravainen,CAR,C,82,21,55,76,30,12,167,1,8,16,1,4,35,23
Pavel Buchnevich,STL,LW,64,21,17,38,-10,13,119,1,7,5,0,0,60,20
Tyler Bertuzzi,DET,LW,73,21,26,47,11,36,131,4,3,3,0,0,76,39
Evgeny Kuznetsov,WAS,C,76,21,51,72,7,50,193,3,8,15,0,0,46,20
Jason Zucker,PIT,LW,81,21,21,42,-9,28,214,5,7,7,0,0,87,38
Evgeni Malkin,PIT,C,68,21,51,72,-25,89,187,5,9,17,0,0,54,33
Mikael Backlund,CGY,C,77,21,26,47,34,52,205,4,1,1,1,1,52,26
Jakub Voracek,CLS,LW,78,20,46,66,-16,25,210,2,4,14,0,0,17,29
David Krejci,BOS,C,81,20,53,73,7,16,139,4,6,10,0,0,28,24
Blake Wheeler,WPG,RW,82,20,71,91,0,60,231,3,2,31,2,1,81,53
Casey Cizikas,NYI,C,73,20,13,33,22,36,111,3,0,0,2,1,129,68
