,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Sidney Crosby,PIT,C,75,44,45,89,17,24,255,5,14,11,0,0,80,27
Nikita Kucherov,TB,RW,74,40,45,85,13,38,246,7,17,15,0,0,30,20
Auston Matthews,TOR,C,82,40,29,69,2,14,279,8,8,13,0,0,21,61
Vladimir Tarasenko,STL,RW,82,39,36,75,-1,12,286,8,9,13,0,0,50,31
Brad Marchand,BOS,LW,80,39,46,85,18,81,226,8,9,15,3,2,51,35
Jeff Skinner,BUF,LW,79,37,26,63,-3,28,281,4,7,8,0,0,33,28
Patrik Laine,CLS,RW,73,36,28,64,7,26,204,5,9,5,0,0,80,33
Cam Atkinson,PHI,RW,82,35,27,62,13,22,240,9,10,11,3,0,33,34
Max Pacioretty,CAR,LW,81,35,32,67,15,38,268,7,8,5,1,1,63,35
Patrick Kane,CHI,RW,82,34,55,89,11,32,292,5,7,16,0,0,28,15
Anders Lee,NYI,C,81,34,18,52,9,56,191,6,9,5,0,0,172,34
David Pastrnak,BOS,RW,75,34,36,70,11,34,262,6,10,14,0,0,72,32
T.J. Oshie,WAS,RW,68,33,23,56,28,36,143,4,7,6,1,2,95,50
Alex Ovechkin,WAS,LW,82,33,36,69,6,50,313,7,17,9,0,0,216,29
Evgeni Malkin,PIT,C,62,33,39,72,18,77,191,6,11,12,0,0,40,25
Rickard Rakell,PIT,C,71,33,18,51,10,12,177,10,5,7,0,0,81,32
Mark Scheifele,WPG,C,79,32,50,82,18,38,160,5,7,8,0,2,49,34
Nazem Kadri,CGY,C,82,32,29,61,-7,95,236,6,12,5,0,0,124,31
Jeff Carter,PIT,C,82,32,34,66,2,41,250,9,10,12,1,0,86,37
Patrick Eaves,FA,RW,79,32,19,51,-2,24,209,2,13,5,0,0,89,43
Wayne Simmonds,TOR,RW,82,31,23,54,-18,122,224,4,16,9,2,0,162,60
Viktor Arvidsson,LA,LW,80,31,30,61,16,28,246,6,4,5,5,2,23,45
Artemi Panarin,NYR,LW,82,31,43,74,18,21,211,5,9,8,0,0,23,14
Filip Forsberg,NSH,RW,82,31,27,58,-4,32,234,9,3,6,3,0,97,26
Jonathan Marchessault,VGK,LW,75,30,21,51,-21,38,193,6,8,10,0,0,105,17
Connor McDavid,EDM,C,82,30,70,100,27,26,251,6,3,24,1,1,34,29
Leon Draisaitl,EDM,C,82,29,48,77,7,20,172,5,10,17,0,0,41,36
James van Riemsdyk,PHI,LW,82,29,33,62,-2,37,238,5,6,13,0,0,62,29
Joe Pavelski,DAL,RW,81,29,39,68,11,34,233,7,7,15,1,0,130,73
Brent Burns,CAR,D,82,29,47,76,19,40,320,6,8,17,0,1,69,142
Eric Staal,FLA,C,82,28,37,65,17,34,211,8,4,12,1,1,42,39
Evander Kane,EDM,LW,70,28,15,43,-17,113,260,5,3,5,0,0,109,29
Chris Kreider,NYR,LW,75,28,25,53,6,58,186,4,6,7,0,0,132,30
John Tavares,TOR,C,77,28,38,66,4,38,260,3,7,11,1,1,42,20
Patrick Marleau,FA,LW,82,27,19,46,4,28,190,6,7,9,0,0,82,32
Michael Grabner,FA,RW,76,27,13,40,22,10,162,3,0,0,1,2,41,34
Kyle Turris,FA,C,78,27,28,55,-3,47,185,6,6,11,0,0,21,61
Patrick Maroon,TB,LW,81,27,15,42,13,95,178,5,3,3,0,0,189,23
Sean Monahan,MON,C,82,27,31,58,-1,20,199,4,8,9,1,0,34,25
Jamie Benn,DAL,C,77,26,43,69,-9,66,201,4,12,14,1,0,89,47
Nick Foligno,BOS,LW,79,26,25,51,-4,55,185,5,11,10,0,0,157,50
Marian Hossa,FA,RW,73,26,19,45,7,8,167,7,5,6,1,0,32,36
Blake Wheeler,WPG,RW,82,26,48,74,6,47,259,4,5,16,2,1,100,51
Kyle Palmieri,NYI,RW,80,26,27,53,2,46,192,3,8,11,1,0,124,36
Mike Hoffman,MON,LW,74,26,35,61,17,51,224,8,13,13,0,0,41,21
Tyler Seguin,DAL,C,82,26,46,72,-15,22,301,4,11,18,0,0,60,26
Mikael Granlund,NSH,C,81,26,43,69,23,12,177,4,7,13,3,1,50,50
Nino Niederreiter,NSH,RW,82,25,32,57,17,53,186,3,8,6,0,0,120,20
Tomas Tatar,NJ,LW,82,25,21,46,-8,26,166,5,5,3,0,0,92,24
Brayden Schenn,STL,C,79,25,30,55,-13,38,178,7,17,11,0,0,189,42
Logan Couture,SJ,C,73,25,27,52,11,12,174,3,11,4,0,1,57,65
Nikolaj Ehlers,WPG,LW,82,25,39,64,1,38,204,4,5,7,0,0,43,28
Jack Eichel,VGK,C,61,24,33,57,-13,22,249,4,10,14,0,0,26,35
Sebastian Aho,CAR,LW,82,24,25,49,-1,26,214,4,6,11,1,1,51,14
Tanner Pearson,VAN,LW,80,24,20,44,5,13,187,5,3,5,1,1,124,31
Justin Williams,FA,RW,80,24,24,48,14,50,167,4,5,5,0,0,28,41
Marcus Johansson,WAS,LW,82,24,34,58,25,10,129,5,5,14,0,0,32,22
Brandon Saad,STL,LW,82,24,29,53,23,8,210,4,1,2,0,0,24,26
Vincent Trocheck,NYR,C,82,23,31,54,-13,43,230,2,2,10,0,1,164,51
Jakob Silfverberg,ANH,RW,79,23,26,49,10,20,227,5,5,4,1,0,47,46
Rick Nash,FA,LW,67,23,15,38,9,26,195,3,6,3,1,0,63,35
Andrew Ladd,ARI,LW,78,23,8,31,-14,45,142,4,3,2,1,0,112,54
James Neal,FA,RW,70,23,18,41,-10,35,202,5,5,8,0,0,84,18
Milan Lucic,CGY,LW,82,23,27,50,-3,50,175,3,12,13,0,0,202,20
Patrik Berglund,FA,C,82,23,11,34,-7,32,153,5,4,4,0,0,155,42
Nicklas Backstrom,WAS,C,82,23,63,86,17,38,162,5,8,27,0,0,45,33
Phil Kessel,VGK,RW,82,23,47,70,3,20,229,4,8,22,0,0,12,15
David Krejci,BOS,C,82,23,31,54,-12,26,158,3,8,6,0,0,40,51
Conor Sheary,WAS,LW,61,23,30,53,24,22,154,6,2,3,0,0,29,23
William Nylander,TOR,C,81,22,39,61,-3,32,205,2,9,17,0,0,25,16
Artem Anisimov,FA,C,64,22,23,45,9,30,105,7,4,4,0,0,18,27
Mikael Backlund,CGY,C,81,22,31,53,9,36,197,7,7,9,0,3,55,41
Ryan Kesler,FA,C,82,22,36,58,8,83,186,2,8,12,0,0,146,75
J.T. Miller,VAN,C,82,22,34,56,17,21,132,6,2,5,3,1,101,56
Mark Stone,VGK,RW,71,22,32,54,12,25,134,5,6,8,0,0,43,53
Richard Panik,NYI,RW,82,22,22,44,14,58,155,5,4,5,0,0,147,45
Paul Byron,MON,C,81,22,21,43,21,29,96,6,0,4,1,0,119,34
Jason Zucker,PIT,LW,79,22,25,47,34,30,172,3,1,0,0,0,73,42
Patrice Bergeron,BOS,C,79,21,32,53,12,24,302,7,8,9,0,3,54,47
Jonathan Toews,CHI,C,72,21,37,58,7,35,199,5,6,11,0,0,43,32
Bryan Little,ARI,C,59,21,26,47,-7,18,119,3,6,6,0,0,35,23
Patric Hornqvist,FLA,RW,70,21,23,44,16,28,223,6,10,7,0,0,227,62
Aleksander Barkov,FLA,C,61,21,31,52,13,10,142,5,3,11,0,0,39,30
Jonathan Drouin,MON,C,73,21,32,53,-13,16,183,6,9,17,0,0,50,16
Bo Horvat,VAN,C,81,20,32,52,-7,27,158,1,3,7,2,0,65,41
Connor Brown,WAS,RW,82,20,16,36,3,10,139,4,2,4,1,0,50,46
Mikko Rantanen,COL,RW,75,20,18,38,-25,22,133,2,4,6,0,0,29,33
Jakub Voracek,CLS,LW,82,20,41,61,-24,56,253,3,5,18,0,0,30,22
Jordan Eberle,SEA,RW,82,20,31,51,3,16,208,0,4,10,0,0,26,37
Martin Hanzal,FA,C,71,20,19,39,-17,53,169,2,5,4,0,0,145,58
Jason Chimera,FA,LW,82,20,13,33,1,40,121,2,0,0,1,0,149,30
Radim Vrbata,FA,RW,81,20,35,55,-18,16,233,4,4,11,0,0,48,31
Brock Nelson,NYI,C,81,20,25,45,-6,36,173,4,1,5,0,1,50,48
Taylor Hall,BOS,LW,72,20,33,53,-9,32,238,4,7,8,0,0,59,31
Ryan O'Reilly,STL,C,72,20,35,55,-1,10,189,3,8,16,1,1,21,45
Adam Henrique,ANH,C,82,20,20,40,-20,38,142,2,6,4,2,1,88,68
Tyler Johnson,CHI,C,66,19,26,45,-5,28,130,3,6,11,0,0,46,30
Markus Granlund,FA,C,69,19,13,32,-19,14,122,3,3,4,0,0,32,11
Alex Killorn,TB,C,81,19,17,36,-9,66,176,4,4,6,1,1,99,25
Jaden Schwartz,SEA,LW,78,19,36,55,14,18,179,4,3,6,0,0,71,43
Evgeny Kuznetsov,WAS,C,82,19,40,59,18,46,170,4,3,11,0,0,57,18
Zach Parise,NYI,LW,69,19,23,42,-3,30,194,4,6,6,0,0,46,69
Corey Perry,TB,RW,82,19,34,53,2,76,215,3,5,15,0,0,81,35
Kyle Okposo,BUF,RW,65,19,26,45,-7,24,156,2,7,16,0,0,53,25
Mitch Marner,TOR,RW,77,19,42,61,0,38,176,5,4,17,0,0,41,39
Ryan Hartman,MIN,RW,76,19,12,31,13,70,170,4,1,0,0,0,121,30
Andreas Athanasiou,CHI,C,64,18,11,29,-7,28,120,3,1,3,0,0,30,21
Brayden Point,TB,C,68,18,22,40,4,14,122,2,5,7,0,0,39,31
Artturi Lehkonen,COL,LW,73,18,10,28,-1,8,158,3,2,2,1,0,72,25
Sam Gagner,WPG,C,81,18,32,50,10,22,178,1,8,10,0,0,22,16
Paul Stastny,CAR,C,66,18,22,40,4,36,112,5,5,8,0,0,51,35
David Perron,DET,RW,82,18,28,46,-2,54,151,3,3,10,1,0,87,28
Alexander Radulov,FA,RW,76,18,36,54,10,62,147,2,6,10,0,0,76,41
Mike Fisher,FA,C,72,18,24,42,1,55,120,3,7,10,0,0,160,64
Mikko Koivu,FA,C,80,18,40,58,27,34,139,4,2,18,0,2,32,65
Charlie Coyle,BOS,C,82,18,38,56,13,36,159,5,4,5,0,0,101,63
Nick Bonino,SJ,C,80,18,19,37,-5,16,142,1,6,5,1,0,60,99
Matt Duchene,NSH,C,77,18,23,41,-34,12,160,3,3,6,1,0,42,41
Tyler Bozak,FA,C,78,18,37,55,-1,30,145,1,7,11,0,0,45,26
