,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Corey Perry,TB,RW,82,50,48,98,9,104,290,11,14,17,4,1,64,41
Steven Stamkos,TB,C,82,45,46,91,3,74,272,8,17,19,0,0,84,37
Jarome Iginla,FA,RW,82,43,43,86,0,40,289,6,14,16,0,0,103,28
Daniel Sedin,FA,LW,82,41,63,104,30,32,266,10,18,24,0,0,13,12
Ryan Kesler,FA,C,82,41,32,73,24,66,260,7,15,15,3,1,124,80
Patrick Marleau,FA,LW,82,37,36,73,-3,16,279,9,11,15,2,1,86,31
Jeff Carter,PIT,C,80,36,30,66,27,39,335,7,8,9,0,0,65,41
Bobby Ryan,FA,RW,82,34,37,71,15,61,270,5,5,5,1,0,156,34
Michael Grabner,FA,RW,76,34,18,52,13,10,228,3,2,2,6,1,22,26
Daniel Briere,FA,RW,77,34,34,68,20,87,246,6,6,9,0,0,36,17
Patrick Sharp,FA,LW,74,34,37,71,-1,38,268,6,12,14,2,1,76,26
Brenden Morrow,FA,LW,82,33,23,56,-3,76,209,5,9,4,1,0,225,43
Eric Staal,FLA,C,81,33,43,76,-10,72,296,8,12,17,3,0,81,31
Thomas Vanek,FA,LW,80,32,41,73,2,24,238,5,11,17,0,0,30,12
Alex Ovechkin,WAS,LW,79,32,53,85,24,41,367,11,7,17,0,0,241,23
Jonathan Toews,CHI,C,80,32,44,76,25,26,233,8,10,15,1,1,74,28
Phil Kessel,VGK,RW,82,32,32,64,-20,24,325,6,12,11,1,0,11,22
Sidney Crosby,PIT,C,41,32,34,66,20,31,161,3,10,9,1,0,31,23
Rick Nash,FA,LW,75,32,34,66,2,34,305,7,6,8,0,0,91,19
Logan Couture,SJ,C,79,32,24,56,18,41,253,8,10,4,0,0,60,66
Jeff Skinner,BUF,LW,82,31,32,63,3,46,215,2,6,12,0,0,70,28
Ilya Kovalchuk,FA,RW,81,31,29,60,-26,28,245,9,9,12,0,0,28,12
Martin St. Louis,FA,RW,82,31,68,99,0,12,254,7,4,37,0,0,37,64
Teemu Selanne,FA,RW,73,31,49,80,6,49,213,5,16,18,0,0,15,20
David Backes,FA,RW,82,31,31,62,32,93,211,2,5,10,0,1,213,40
Matt Moulson,FA,LW,82,31,22,53,-10,24,237,3,9,6,0,0,84,48
Drew Stafford,FA,RW,62,31,21,52,13,34,179,4,11,8,0,0,53,5
Nikolay Kulemin,FA,RW,82,30,27,57,7,26,173,5,5,8,1,0,101,48
Milan Lucic,CGY,LW,79,30,32,62,28,121,173,7,5,9,0,0,167,22
John Tavares,TOR,C,79,29,38,67,-16,53,243,4,9,15,0,0,22,23
Andrew Ladd,ARI,LW,81,29,30,59,-10,39,195,2,9,9,2,1,68,45
Mikhail Grabovski,FA,C,81,29,29,58,14,60,239,4,10,5,0,0,44,25
Brian Gionta,FA,RW,82,29,17,46,3,24,298,6,7,4,2,0,87,31
Brad Richards,FA,C,72,28,49,77,1,24,272,3,7,22,0,0,20,22
Chris Stewart,FA,RW,62,28,25,53,-6,53,162,5,12,4,0,0,56,18
Johan Franzen,FA,RW,76,28,27,55,5,58,248,5,10,7,0,0,143,29
Dustin Brown,FA,RW,82,28,29,57,17,67,228,2,7,8,0,0,300,29
Alexander Semin,FA,LW,65,28,26,54,22,71,196,4,6,12,1,0,27,6
Loui Eriksson,FA,RW,79,27,46,73,10,8,179,6,10,15,1,2,26,46
Rene Bourque,FA,LW,80,27,23,50,-17,42,218,6,6,9,1,2,90,26
Matt Duchene,NSH,C,80,27,40,67,-8,33,202,2,3,12,0,0,57,48
Patrick Kane,CHI,RW,73,27,46,73,7,28,216,2,5,19,0,0,17,17
