,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Nikita Kucherov,TBL,RW,78,37,84,121,22,45,265,9,8,38,0,0,23,33
Nathan MacKinnon,COL,C,79,32,84,116,25,41,320,5,9,29,0,0,38,58
Leon Draisaitl,EDM,C,71,52,54,106,32,34,240,11,16,17,0,0,23,27
David Pastrnak,BOS,RW,82,43,63,106,0,42,319,4,9,14,0,0,58,24
Mitch Marner,VGK,RW,81,27,75,102,18,14,173,7,6,27,1,1,49,40
Connor McDavid,EDM,C,67,26,74,100,20,37,196,3,9,22,0,0,40,18
Kyle Connor,WPG,LW,82,41,56,97,17,25,267,8,9,19,2,0,21,46
Jack Eichel,VGK,C,77,28,66,94,32,8,233,3,5,29,1,1,22,55
Cale Makar,COL,D,80,30,62,92,28,14,246,4,12,23,2,1,51,128
Sidney Crosby,PIT,C,80,33,58,91,-20,31,227,10,12,15,0,0,67,39
Brandon Hagel,TBL,LW,82,35,55,90,33,58,228,4,0,11,3,4,59,60
Clayton Keller,UTA,RW,81,30,60,90,-12,28,218,5,10,27,0,0,11,30
Artemi Panarin,NYR,LW,80,37,52,89,-9,16,237,3,8,18,0,0,18,11
Nick Suzuki,MTL,C,82,30,59,89,19,8,172,9,4,23,2,0,63,71
Mikko Rantanen,DAL,RW,82,32,56,88,13,60,212,6,11,15,0,0,48,44
Jesper Bratt,NJD,LW,81,21,67,88,5,18,180,2,4,30,2,2,96,42
Mark Scheifele,WPG,C,82,39,48,87,12,61,181,11,11,14,0,0,73,60
William Nylander,TOR,C,82,45,39,84,10,26,253,8,12,18,0,0,14,27
Martin Necas,COL,C,79,27,56,83,5,16,194,8,12,25,0,0,62,23
Brayden Point,TBL,C,77,42,40,82,17,7,189,7,16,15,0,0,26,45
Matt Duchene,DAL,C,82,30,52,82,13,12,152,6,8,19,0,0,29,21
Dylan Strome,WSH,C,82,29,53,82,2,34,149,3,9,25,0,0,23,54
Zach Werenski,CBJ,D,81,23,59,82,12,31,298,5,5,20,1,2,19,131
Sam Reinhart,FLA,RW,79,39,42,81,6,27,213,4,13,17,5,1,103,62
Robert Thomas,STL,C,70,21,60,81,20,20,145,5,3,16,1,0,13,48
Jake Guentzel,TBL,LW,80,41,39,80,18,24,217,5,17,11,1,0,28,52
Jason Robertson,DAL,LW,82,35,45,80,10,18,211,6,9,10,0,0,60,45
Lucas Raymond,DET,RW,82,27,53,80,-15,18,192,5,8,29,1,0,42,34
Tim Stutzle,OTT,C,82,24,55,79,0,46,162,2,5,28,0,0,130,45
Auston Matthews,TOR,C,67,33,45,78,11,20,261,2,10,15,2,0,45,89
Filip Forsberg,NSH,RW,82,31,45,76,-27,44,281,3,10,16,0,0,151,52
Travis Konecny,PHI,RW,82,24,52,76,-17,53,188,3,8,9,1,2,94,42
Quinn Hughes,VAN,D,68,16,60,76,2,29,192,3,4,25,0,0,13,67
John Tavares,TOR,C,75,38,36,74,10,46,200,8,12,8,0,0,92,45
Kirill Marchenko,CBJ,LW,79,31,43,74,29,20,207,2,2,17,0,0,55,38
Sebastian Aho,CAR,C,79,29,45,74,7,46,207,9,5,18,3,4,59,30
Alex Ovechkin,WSH,LW,65,44,29,73,15,14,237,7,14,8,0,0,110,13
Adrian Kempe,LAK,C,81,35,38,73,22,36,237,5,7,11,1,0,100,36
Matt Boldy,MIN,LW,82,27,46,73,1,51,271,10,6,15,0,0,52,69
Tage Thompson,BUF,C,76,44,28,72,-2,35,242,6,7,9,0,0,70,31
Wyatt Johnston,DAL,C,82,33,38,71,2,14,202,4,11,14,3,0,45,47
Aleksander Barkov,FLA,C,67,20,51,71,1,16,149,4,9,19,1,3,87,54
Alex DeBrincat,DET,RW,82,39,31,70,-13,29,244,4,13,16,0,0,33,38
Cole Caufield,MTL,RW,82,37,33,70,9,14,240,8,10,7,0,0,66,31
Jordan Kyrou,STL,RW,82,36,34,70,23,20,239,4,7,10,0,0,50,36
Rickard Rakell,PIT,C,81,35,35,70,-22,14,203,1,9,10,0,0,116,77
Dylan Larkin,DET,C,82,30,40,70,-16,40,234,3,13,14,0,0,44,33
Jack Hughes,NJD,C,62,27,43,70,12,18,229,7,6,21,1,1,7,29
J.T. Miller,NYR,C,72,22,48,70,-6,55,137,2,5,17,0,4,168,50
Nico Hischier,NJD,C,75,35,34,69,9,20,187,3,14,15,0,2,44,60
JJ Peterka,UTA,RW,77,27,41,68,-1,34,173,3,6,12,0,0,30,16
Drake Batherson,OTT,RW,82,26,42,68,-9,30,192,3,13,18,0,0,149,30
Rasmus Dahlin,BUF,D,73,17,51,68,11,54,200,1,5,16,0,1,101,98
Alex Tuch,BUF,RW,82,36,31,67,16,47,196,4,3,8,6,3,73,113
Nazem Kadri,CGY,C,82,35,32,67,-17,72,279,5,9,13,0,0,55,30
Seth Jarvis,CAR,RW,73,32,35,67,12,16,204,2,7,12,5,2,93,51
Roope Hintz,DAL,C,76,28,39,67,18,30,160,7,7,13,1,1,53,46
Connor Bedard,CHI,C,82,23,44,67,-36,70,195,5,11,18,0,0,47,37
Anze Kopitar,LAK,C,81,21,46,67,14,4,98,7,4,18,0,1,31,67
Mark Stone,VGK,RW,66,19,48,67,22,14,131,4,5,20,0,1,32,42
Evan Bouchard,EDM,D,82,14,53,67,14,32,235,2,3,23,0,0,31,108
Aliaksei Protas,WSH,C,76,30,36,66,40,18,142,6,0,1,3,2,20,33
Mikael Granlund,ANA,C,83,22,44,66,0,28,169,4,5,14,1,0,57,60
Pierre-Luc Dubois,WSH,C,82,20,46,66,27,76,142,4,4,10,0,0,65,62
Victor Hedman,TBL,D,79,15,51,66,18,30,181,1,4,22,0,0,39,133
Lane Hutson,MTL,D,82,6,60,66,-2,34,91,0,1,25,0,0,40,123
Tom Wilson,WSH,RW,81,33,32,65,20,100,169,6,11,6,2,3,233,71
Bryan Rust,PIT,RW,71,31,34,65,-21,18,191,5,5,13,0,0,62,54
