,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Auston Matthews,TOR,C,81,69,38,107,31,20,369,8,18,11,0,1,89,93
Sam Reinhart,FLA,RW,82,57,37,94,29,31,233,11,27,7,5,0,78,66
Zach Hyman,EDM,RW,80,54,23,77,36,48,290,7,15,5,0,0,87,37
Nathan MacKinnon,COL,C,82,51,89,140,35,42,405,9,10,38,0,0,55,69
Artemi Panarin,NYR,LW,82,49,71,120,18,24,303,5,11,33,0,1,18,15
Filip Forsberg,NSH,RW,82,48,46,94,16,43,347,11,13,19,0,0,141,44
David Pastrnak,BOS,RW,82,47,63,110,21,47,382,5,12,23,0,0,70,19
Kirill Kaprizov,MIN,LW,75,46,50,96,11,36,277,8,19,22,0,0,54,38
Brayden Point,TBL,C,81,46,44,90,-16,14,227,12,15,17,0,0,16,44
Nikita Kucherov,TBL,RW,81,44,100,144,8,22,306,6,13,40,0,0,45,35
Sidney Crosby,PIT,C,82,42,52,94,7,40,278,3,10,13,0,0,100,37
Jonathan Marchessault,NSH,LW,82,42,27,69,-2,40,266,5,8,9,0,0,107,23
Mikko Rantanen,DAL,RW,80,42,62,104,19,50,271,9,14,26,0,0,53,49
Leon Draisaitl,EDM,C,81,41,65,106,26,76,217,7,21,18,0,2,58,26
Steven Stamkos,NSH,C,79,40,41,81,-21,34,262,6,19,20,0,0,78,43
William Nylander,TOR,C,82,40,58,98,1,24,316,7,11,24,3,1,32,29
Brock Boeser,VAN,RW,81,40,33,73,23,14,204,4,16,9,0,0,56,29
Chris Kreider,ANA,LW,82,39,36,75,19,26,246,7,18,11,2,3,97,20
Frank Vatrano,ANA,LW,82,37,23,60,-20,85,272,7,13,7,3,1,156,78
J.T. Miller,NYR,C,81,37,66,103,32,58,194,9,10,30,2,0,216,61
Brady Tkachuk,OTT,LW,81,37,37,74,1,134,357,2,12,10,0,0,293,34
Sebastian Aho,CAR,C,78,36,53,89,34,36,216,10,11,21,1,1,47,18
Brock Nelson,COL,C,82,34,35,69,-5,28,250,2,9,10,1,1,38,47
Carter Verhaeghe,FLA,C,76,34,38,72,17,36,246,7,8,13,0,0,63,20
Elias Pettersson,VAN,C,82,34,55,89,20,12,207,10,13,18,0,2,125,68
Kyle Connor,WPG,LW,65,34,27,61,-6,6,221,10,5,14,0,0,14,19
Clayton Keller,UTA,RW,78,33,43,76,-20,32,228,4,9,21,0,0,20,30
Travis Konecny,PHI,RW,76,33,35,68,4,67,244,5,4,5,6,1,90,32
Tyler Toffoli,SJS,RW,79,33,22,55,-6,14,229,4,11,7,0,0,75,11
Dylan Larkin,DET,C,68,33,36,69,5,39,221,5,14,12,2,0,44,34
Bo Horvat,NYI,C,81,33,35,68,-1,39,248,6,10,8,1,1,60,42
Nick Suzuki,MTL,C,82,33,44,77,-14,36,185,1,12,19,0,0,68,48
Seth Jarvis,CAR,RW,81,33,34,67,23,14,176,9,13,7,2,1,115,52
Wyatt Johnston,DAL,C,82,32,33,65,14,38,216,3,3,7,3,0,52,42
